case_id,duration_days,n_events,crop,state
MALAPPURAM_Cinnamon,0,1,Cinnamon,KERALA
MALAPPURAM_Clove,0,1,Clove,KERALA
MALAPPURAM_Cocoa,155,4,Cocoa,KERALA
MALAPPURAM_Coconut,361,92,Coconut,KERALA
"MALAPPURAM_Colocasia (Arvi, Arbi)",0,1,"Colocasia (Arvi, Arbi)",KERALA
MALAPPURAM_Cowpea (Vegetable),320,16,Cowpea (Vegetable),KERALA
MALAPPURAM_Cucumber,169,5,Cucumber,KERALA
MALAPPURAM_Curry Leaf,112,5,Curry Leaf,KERALA
MALAPPURAM_Drum Stick,0,1,Drum Stick,KERALA
MALAPPURAM_Ginger,266,8,Ginger,KERALA
MALAPPURAM_Grape,0,1,Grape,KERALA
MALAPPURAM_Guava,177,5,Guava,KERALA
MALAPPURAM_Hibiscus (Gurhal),97,2,Hibiscus (Gurhal),KERALA
MALAPPURAM_Indian Clover (Senji Sweet Clover),0,1,Indian Clover (Senji Sweet Clover),KERALA
MALAPPURAM_Ivy Gourd,165,2,Ivy Gourd,KERALA
MALAPPURAM_Jack Fruit,0,1,Jack Fruit,KERALA
MALAPPURAM_Kokum,0,1,Kokum,KERALA
MALAPPURAM_Loquat,0,1,Loquat,KERALA
MALAPPURAM_Mango,364,39,Mango,KERALA
MALAPPURAM_Nutmeg,268,8,Nutmeg,KERALA
MALAPPURAM_Oats,0,1,Oats,KERALA
MALAPPURAM_Orange,0,1,Orange,KERALA
MALAPPURAM_POULTRY  FARM,0,1,POULTRY  FARM,KERALA
MALAPPURAM_Paddy (Dhan),349,23,Paddy (Dhan),KERALA
MALAPPURAM_Passion Fruit,0,1,Passion Fruit,KERALA
MALAPPURAM_Pepper,289,16,Pepper,KERALA
MALAPPURAM_Pigeon pea (red gram/arhar/tur),0,1,Pigeon pea (red gram/arhar/tur),KERALA
MALAPPURAM_Pineapple,0,1,Pineapple,KERALA
MALAPPURAM_Pumpkin,265,7,Pumpkin,KERALA
MALAPPURAM_Rose,0,1,Rose,KERALA
MALAPPURAM_Rubber,105,5,Rubber,KERALA
MALAPPURAM_Tapioca (Cassava),203,7,Tapioca (Cassava),KERALA
MALAPPURAM_Tomato,275,6,Tomato,KERALA
MALAPPURAM_Turmeric,0,1,Turmeric,KERALA
MALAPPURAM_Watermelon,88,3,Watermelon,KERALA
PALAKKAD_Acid Lime,134,2,Acid Lime,KERALA
PALAKKAD_Aloe Vera,0,1,Aloe Vera,KERALA
PALAKKAD_Amaranthus/Grain Amaranthus,0,1,Amaranthus/Grain Amaranthus,KERALA
PALAKKAD_Amarphophallus (Surankand/Elephant Foot Yam),0,2,Amarphophallus (Surankand/Elephant Foot Yam),KERALA
PALAKKAD_Arecanut,345,30,Arecanut,KERALA
PALAKKAD_Ash Gourd (Petha),145,3,Ash Gourd (Petha),KERALA
PALAKKAD_BAJRA NAPIER HYBRID,0,1,BAJRA NAPIER HYBRID,KERALA
PALAKKAD_Babool,0,1,Babool,KERALA
PALAKKAD_Banana,335,17,Banana,KERALA
PALAKKAD_Bhindi(Okra/Ladysfinger),256,9,Bhindi(Okra/Ladysfinger),KERALA
PALAKKAD_Bitter Gourd,320,3,Bitter Gourd,KERALA
PALAKKAD_Black Gram (urd bean),291,3,Black Gram (urd bean),KERALA
PALAKKAD_Bottle Gourd,0,1,Bottle Gourd,KERALA
PALAKKAD_Brinjal,319,9,Brinjal,KERALA
PALAKKAD_Broad Bean,0,1,Broad Bean,KERALA
PALAKKAD_Cabbage,0,1,Cabbage,KERALA
PALAKKAD_Cardamom,257,3,Cardamom,KERALA
PALAKKAD_Cauliflower,11,2,Cauliflower,KERALA
PALAKKAD_Chillies,287,8,Chillies,KERALA
PALAKKAD_China Astor,0,1,China Astor,KERALA
PALAKKAD_Citrus,0,1,Citrus,KERALA
PALAKKAD_Cocoa,0,1,Cocoa,KERALA
PALAKKAD_Coconut,324,24,Coconut,KERALA
"PALAKKAD_Colocasia (Arvi, Arbi)",0,1,"Colocasia (Arvi, Arbi)",KERALA
PALAKKAD_Cowpea (Vegetable),264,5,Cowpea (Vegetable),KERALA
PALAKKAD_Cucumber,0,1,Cucumber,KERALA
PALAKKAD_Fig,0,1,Fig,KERALA
PALAKKAD_FingerMillet  (Ragi/Mandika),0,1,FingerMillet  (Ragi/Mandika),KERALA
PALAKKAD_Fresh Water,10,2,Fresh Water,KERALA
PALAKKAD_Ginger,0,2,Ginger,KERALA
PALAKKAD_Grape,72,2,Grape,KERALA
PALAKKAD_Green Gram (Moong Bean/ Moong),0,1,Green Gram (Moong Bean/ Moong),KERALA
PALAKKAD_Horse Gram (kulthi/kultha),0,1,Horse Gram (kulthi/kultha),KERALA
PALAKKAD_Jack Fruit,250,5,Jack Fruit,KERALA
PALAKKAD_Mango,343,28,Mango,KERALA
PALAKKAD_Marigold,0,1,Marigold,KERALA
PALAKKAD_Mustard,0,1,Mustard,KERALA
PALAKKAD_Nutmeg,202,4,Nutmeg,KERALA
PALAKKAD_POULTRY  FARM,0,1,POULTRY  FARM,KERALA
PALAKKAD_Paddy (Dhan),360,61,Paddy (Dhan),KERALA
PALAKKAD_Papaya,205,3,Papaya,KERALA
PALAKKAD_Passion Fruit,0,1,Passion Fruit,KERALA
PALAKKAD_Pepper,353,14,Pepper,KERALA
PALAKKAD_Pomegranate,0,1,Pomegranate,KERALA
PALAKKAD_Pumpkin,214,6,Pumpkin,KERALA
PALAKKAD_Rose,187,3,Rose,KERALA
PALAKKAD_Rubber,1,2,Rubber,KERALA
PALAKKAD_Sandal Wood,0,1,Sandal Wood,KERALA
PALAKKAD_Sesame (Gingelly/Til)/Sesamum,286,3,Sesame (Gingelly/Til)/Sesamum,KERALA
PALAKKAD_Snake Gourd,0,1,Snake Gourd,KERALA
PALAKKAD_Sweet Potato,0,1,Sweet Potato,KERALA
PALAKKAD_Tapioca (Cassava),250,10,Tapioca (Cassava),KERALA
PALAKKAD_Tomato,326,12,Tomato,KERALA
PALAKKAD_Turkey,0,1,Turkey,KERALA
PALAKKAD_Turmeric,11,2,Turmeric,KERALA
PATHANAMTHITTA_Acid Lime,0,1,Acid Lime,KERALA
PATHANAMTHITTA_Amaranthus/Grain Amaranthus,345,6,Amaranthus/Grain Amaranthus,KERALA
PATHANAMTHITTA_Amarphophallus (Surankand/Elephant Foot Yam),16,2,Amarphophallus (Surankand/Elephant Foot Yam),KERALA
PATHANAMTHITTA_Aonla,0,1,Aonla,KERALA
PATHANAMTHITTA_Arecanut,0,1,Arecanut,KERALA
PATHANAMTHITTA_Banana,347,34,Banana,KERALA
PATHANAMTHITTA_Bhindi(Okra/Ladysfinger),44,2,Bhindi(Okra/Ladysfinger),KERALA
PATHANAMTHITTA_Bitter Gourd,109,2,Bitter Gourd,KERALA
PATHANAMTHITTA_Bottle Gourd,0,1,Bottle Gourd,KERALA
"PATHANAMTHITTA_Bovine(Cow,Buffalo)",0,1,"Bovine(Cow,Buffalo)",KERALA
PATHANAMTHITTA_Brinjal,44,2,Brinjal,KERALA
PATHANAMTHITTA_Chillies,210,5,Chillies,KERALA
PATHANAMTHITTA_Coconut,336,24,Coconut,KERALA
PATHANAMTHITTA_Cowpea (Vegetable),268,7,Cowpea (Vegetable),KERALA
PATHANAMTHITTA_Cucumber,0,1,Cucumber,KERALA
PATHANAMTHITTA_Curry Leaf,0,1,Curry Leaf,KERALA
PATHANAMTHITTA_Drum Stick,0,1,Drum Stick,KERALA
PATHANAMTHITTA_Ginger,188,8,Ginger,KERALA
PATHANAMTHITTA_Goat,0,1,Goat,KERALA
PATHANAMTHITTA_Jack Fruit,291,6,Jack Fruit,KERALA
PATHANAMTHITTA_Jasmine,0,1,Jasmine,KERALA
PATHANAMTHITTA_Lesser Yam (Rafula),0,1,Lesser Yam (Rafula),KERALA
PATHANAMTHITTA_Mango,320,6,Mango,KERALA
PATHANAMTHITTA_Marigold,0,2,Marigold,KERALA
PATHANAMTHITTA_Nutmeg,41,4,Nutmeg,KERALA
PATHANAMTHITTA_POULTRY  FARM,0,2,POULTRY  FARM,KERALA
PATHANAMTHITTA_Paddy (Dhan),0,2,Paddy (Dhan),KERALA
PATHANAMTHITTA_Pepper,52,4,Pepper,KERALA
PATHANAMTHITTA_Poplar,0,1,Poplar,KERALA
PATHANAMTHITTA_Pumpkin,0,1,Pumpkin,KERALA
PATHANAMTHITTA_Rose,0,1,Rose,KERALA
PATHANAMTHITTA_Rubber,184,5,Rubber,KERALA
PATHANAMTHITTA_Sandal Wood,0,1,Sandal Wood,KERALA
PATHANAMTHITTA_Sapota,0,1,Sapota,KERALA
PATHANAMTHITTA_Snake Gourd,0,1,Snake Gourd,KERALA
PATHANAMTHITTA_Tapioca (Cassava),134,5,Tapioca (Cassava),KERALA
PATHANAMTHITTA_Tomato,0,1,Tomato,KERALA
PATHANAMTHITTA_Turkey,0,1,Turkey,KERALA
PATHANAMTHITTA_Turmeric,0,1,Turmeric,KERALA
THRISSUR_Acid Lime,267,6,Acid Lime,KERALA
THRISSUR_Amaranthus/Grain Amaranthus,274,7,Amaranthus/Grain Amaranthus,KERALA
THRISSUR_Amarphophallus (Surankand/Elephant Foot Yam),193,2,Amarphophallus (Surankand/Elephant Foot Yam),KERALA
THRISSUR_Anthurium,173,2,Anthurium,KERALA
THRISSUR_Aonla,19,2,Aonla,KERALA
THRISSUR_Arecanut,330,28,Arecanut,KERALA
THRISSUR_Ash Gourd (Petha),316,6,Ash Gourd (Petha),KERALA
THRISSUR_Avacado,0,1,Avacado,KERALA
THRISSUR_Banana,353,67,Banana,KERALA
THRISSUR_Ber,0,1,Ber,KERALA
THRISSUR_Bhindi(Okra/Ladysfinger),171,8,Bhindi(Okra/Ladysfinger),KERALA
THRISSUR_Bitter Gourd,54,4,Bitter Gourd,KERALA
THRISSUR_Bottle Gourd,0,1,Bottle Gourd,KERALA
"THRISSUR_Bovine(Cow,Buffalo)",282,2,"Bovine(Cow,Buffalo)",KERALA
THRISSUR_Brackish,0,1,Brackish,KERALA
THRISSUR_Brinjal,316,9,Brinjal,KERALA
THRISSUR_Broad Bean,0,1,Broad Bean,KERALA
THRISSUR_Cat,0,1,Cat,KERALA
THRISSUR_Cauliflower,0,2,Cauliflower,KERALA
THRISSUR_Chillies,349,23,Chillies,KERALA
THRISSUR_Citrus,108,5,Citrus,KERALA
THRISSUR_Clove,0,1,Clove,KERALA
THRISSUR_Cluster Bean,289,7,Cluster Bean,KERALA
THRISSUR_Cocoa,0,1,Cocoa,KERALA
THRISSUR_Coconut,358,78,Coconut,KERALA
THRISSUR_Coffee,0,1,Coffee,KERALA
"THRISSUR_Colocasia (Arvi, Arbi)",37,3,"Colocasia (Arvi, Arbi)",KERALA
THRISSUR_Cowpea (Vegetable),309,22,Cowpea (Vegetable),KERALA
THRISSUR_Cucumber,317,7,Cucumber,KERALA
THRISSUR_Curry Leaf,28,3,Curry Leaf,KERALA
THRISSUR_Cymbidium,0,1,Cymbidium,KERALA
THRISSUR_DatePalm,0,1,DatePalm,KERALA
THRISSUR_Dog,0,1,Dog,KERALA
THRISSUR_Drum Stick,251,4,Drum Stick,KERALA
THRISSUR_Fresh Water,141,2,Fresh Water,KERALA
THRISSUR_Ginger,193,8,Ginger,KERALA
THRISSUR_Goat,193,2,Goat,KERALA
THRISSUR_Grape,0,1,Grape,KERALA
THRISSUR_Guava,0,1,Guava,KERALA
THRISSUR_Hibiscus (Gurhal),4,2,Hibiscus (Gurhal),KERALA
THRISSUR_Honey plant,0,1,Honey plant,KERALA
THRISSUR_Ivy Gourd,317,5,Ivy Gourd,KERALA
THRISSUR_Jack Fruit,327,11,Jack Fruit,KERALA
THRISSUR_Jasmine,312,42,Jasmine,KERALA
THRISSUR_Kokum,0,2,Kokum,KERALA
THRISSUR_Lemon,57,3,Lemon,KERALA
THRISSUR_Lilliums,0,1,Lilliums,KERALA
THRISSUR_Litchi,53,3,Litchi,KERALA
THRISSUR_Mango,359,25,Mango,KERALA
THRISSUR_Marigold,142,2,Marigold,KERALA
THRISSUR_Methi (Fenugreek),0,1,Methi (Fenugreek),KERALA
THRISSUR_Neem,0,1,Neem,KERALA
THRISSUR_Nutmeg,353,48,Nutmeg,KERALA
THRISSUR_POULTRY  FARM,237,2,POULTRY  FARM,KERALA
THRISSUR_Paddy (Dhan),352,26,Paddy (Dhan),KERALA
THRISSUR_Papaya,326,5,Papaya,KERALA
THRISSUR_Pear,61,2,Pear,KERALA
THRISSUR_Pepper,317,17,Pepper,KERALA
THRISSUR_Pineapple,0,1,Pineapple,KERALA
THRISSUR_Potato,0,2,Potato,KERALA
THRISSUR_Pumpkin,285,4,Pumpkin,KERALA
THRISSUR_Strawberry,0,1,Strawberry,KERALA
THRISSUR_Tapioca (Cassava),329,5,Tapioca (Cassava),KERALA
THRISSUR_Tea,0,1,Tea,KERALA
THRISSUR_Tomato,291,6,Tomato,KERALA
THRISSUR_Tulsi,0,1,Tulsi,KERALA
THRISSUR_Turkey,0,1,Turkey,KERALA
THRISSUR_Turmeric,110,3,Turmeric,KERALA
THRISSUR_Watermelon,63,8,Watermelon,KERALA
TRIVANDRUM_Acid Lime,0,1,Acid Lime,KERALA
TRIVANDRUM_Amaranthus/Grain Amaranthus,192,14,Amaranthus/Grain Amaranthus,KERALA
TRIVANDRUM_Aonla,0,1,Aonla,KERALA
TRIVANDRUM_Apricot,0,1,Apricot,KERALA
TRIVANDRUM_Arecanut,190,6,Arecanut,KERALA
TRIVANDRUM_Bail,0,1,Bail,KERALA
TRIVANDRUM_Banana,341,55,Banana,KERALA
TRIVANDRUM_Beekeeping,0,1,Beekeeping,KERALA
TRIVANDRUM_Bhindi(Okra/Ladysfinger),297,20,Bhindi(Okra/Ladysfinger),KERALA
TRIVANDRUM_Bitter Gourd,150,4,Bitter Gourd,KERALA
TRIVANDRUM_Bottle Gourd,0,1,Bottle Gourd,KERALA
"TRIVANDRUM_Bovine(Cow,Buffalo)",0,1,"Bovine(Cow,Buffalo)",KERALA
TRIVANDRUM_Brinjal,230,22,Brinjal,KERALA
TRIVANDRUM_Broad Bean,0,1,Broad Bean,KERALA
TRIVANDRUM_Chillies,328,18,Chillies,KERALA
TRIVANDRUM_Chrysanthemum,0,1,Chrysanthemum,KERALA
TRIVANDRUM_Citrus,0,1,Citrus,KERALA
TRIVANDRUM_Clove,0,1,Clove,KERALA
TRIVANDRUM_Cocoa,0,2,Cocoa,KERALA
TRIVANDRUM_Coconut,362,93,Coconut,KERALA
"TRIVANDRUM_Colocasia (Arvi, Arbi)",0,2,"Colocasia (Arvi, Arbi)",KERALA
TRIVANDRUM_Cowpea (Vegetable),249,36,Cowpea (Vegetable),KERALA
TRIVANDRUM_Cucumber,186,6,Cucumber,KERALA
TRIVANDRUM_Curry Leaf,0,1,Curry Leaf,KERALA
TRIVANDRUM_Custard Apple,88,3,Custard Apple,KERALA
TRIVANDRUM_Dog,0,1,Dog,KERALA
TRIVANDRUM_Drum Stick,0,1,Drum Stick,KERALA
TRIVANDRUM_Fig,0,1,Fig,KERALA
TRIVANDRUM_Fresh Water,95,2,Fresh Water,KERALA
TRIVANDRUM_Ginger,255,8,Ginger,KERALA
TRIVANDRUM_Grape,46,3,Grape,KERALA
TRIVANDRUM_Guava,221,3,Guava,KERALA
TRIVANDRUM_Hazlenut,48,2,Hazlenut,KERALA
TRIVANDRUM_Jack Fruit,306,15,Jack Fruit,KERALA
TRIVANDRUM_Jasmine,114,2,Jasmine,KERALA
TRIVANDRUM_Lemon,0,1,Lemon,KERALA
TRIVANDRUM_Litchi,0,1,Litchi,KERALA
TRIVANDRUM_Mango,306,31,Mango,KERALA
TRIVANDRUM_Marigold,0,1,Marigold,KERALA
TRIVANDRUM_Mint,0,1,Mint,KERALA
TRIVANDRUM_Nutmeg,124,2,Nutmeg,KERALA
TRIVANDRUM_Other,0,1,Other,KERALA
TRIVANDRUM_Paddy (Dhan),72,5,Paddy (Dhan),KERALA
TRIVANDRUM_Papaya,327,7,Papaya,KERALA
TRIVANDRUM_Passion Fruit,0,1,Passion Fruit,KERALA
TRIVANDRUM_Pear,0,1,Pear,KERALA
TRIVANDRUM_Pepper,155,7,Pepper,KERALA
TRIVANDRUM_Pineapple,1,2,Pineapple,KERALA
TRIVANDRUM_Rose,108,3,Rose,KERALA
TRIVANDRUM_Rubber,278,15,Rubber,KERALA
TRIVANDRUM_Sapota,0,1,Sapota,KERALA
TRIVANDRUM_Sesame (Gingelly/Til)/Sesamum,0,3,Sesame (Gingelly/Til)/Sesamum,KERALA
TRIVANDRUM_Snake Gourd,0,2,Snake Gourd,KERALA
TRIVANDRUM_Sweet Potato,3,2,Sweet Potato,KERALA
TRIVANDRUM_Tapioca (Cassava),254,9,Tapioca (Cassava),KERALA
TRIVANDRUM_Teak,165,2,Teak,KERALA
TRIVANDRUM_Tomato,89,10,Tomato,KERALA
TRIVANDRUM_Turmeric,9,2,Turmeric,KERALA
TRIVANDRUM_Watermelon,40,2,Watermelon,KERALA
WAYANAD_Arecanut,140,2,Arecanut,KERALA
WAYANAD_Avacado,0,1,Avacado,KERALA
WAYANAD_Banana,324,22,Banana,KERALA
WAYANAD_Bitter Gourd,0,2,Bitter Gourd,KERALA
"WAYANAD_Bovine(Cow,Buffalo)",0,1,"Bovine(Cow,Buffalo)",KERALA
WAYANAD_Cardamom,0,1,Cardamom,KERALA
WAYANAD_Chillies,308,4,Chillies,KERALA
WAYANAD_Cinnamon,0,1,Cinnamon,KERALA
WAYANAD_Cocoa,0,1,Cocoa,KERALA
WAYANAD_Coconut,242,8,Coconut,KERALA
WAYANAD_Coffee,257,16,Coffee,KERALA
WAYANAD_Cowpea (Vegetable),0,1,Cowpea (Vegetable),KERALA
WAYANAD_Garlic,0,2,Garlic,KERALA
WAYANAD_Ginger,170,10,Ginger,KERALA
WAYANAD_Mango,191,2,Mango,KERALA
WAYANAD_Nutmeg,0,1,Nutmeg,KERALA
WAYANAD_Onion,0,1,Onion,KERALA
WAYANAD_POULTRY  FARM,0,2,POULTRY  FARM,KERALA
WAYANAD_Paddy (Dhan),50,2,Paddy (Dhan),KERALA
WAYANAD_Papaya,0,1,Papaya,KERALA
WAYANAD_Passion Fruit,47,2,Passion Fruit,KERALA
WAYANAD_Pepper,214,8,Pepper,KERALA
WAYANAD_Potato,0,1,Potato,KERALA
WAYANAD_Sweet Potato,0,1,Sweet Potato,KERALA
WAYANAD_Tomato,0,1,Tomato,KERALA
