case_id,duration_days,n_events,crop,state
ERNAKULAM_Ivy Gourd,176,5,Ivy Gourd,KERALA
ERNAKULAM_Jack Fruit,308,14,Jack Fruit,KERALA
ERNAKULAM_Jamun,0,1,Jamun,KERALA
ERNAKULAM_Jasmine,0,1,Jasmine,KERALA
ERNAKULAM_Kaner,0,1,Kaner,KERALA
ERNAKULAM_Kokum,0,1,Kokum,KERALA
ERNAKULAM_Large Cardamom,0,1,Large Cardamom,KERALA
ERNAKULAM_Lemon,221,2,Lemon,KERALA
ERNAKULAM_Litchi,156,5,Litchi,KERALA
ERNAKULAM_Little Millet (Samai/Kutki/kodo-kutki),0,1,Little Millet (Samai/Kutki/kodo-kutki),KERALA
ERNAKULAM_Mango,352,54,Mango,KERALA
ERNAKULAM_Marigold,124,4,Marigold,KERALA
ERNAKULAM_Mosambi,0,1,Mosambi,KERALA
ERNAKULAM_Napier Grass,0,1,Napier Grass,KERALA
ERNAKULAM_Nutmeg,357,64,Nutmeg,KERALA
ERNAKULAM_Other,254,4,Other,KERALA
ERNAKULAM_POULTRY  FARM,0,1,POULTRY  FARM,KERALA
ERNAKULAM_Paddy (Dhan),320,12,Paddy (Dhan),KERALA
ERNAKULAM_Papaya,328,13,Papaya,KERALA
ERNAKULAM_Passion Fruit,250,2,Passion Fruit,KERALA
ERNAKULAM_Pepper,298,14,Pepper,KERALA
ERNAKULAM_Pineapple,199,8,Pineapple,KERALA
ERNAKULAM_Pomegranate,0,1,Pomegranate,KERALA
ERNAKULAM_Pumpkin,189,2,Pumpkin,KERALA
ERNAKULAM_Ridge Gourd,123,2,Ridge Gourd,KERALA
ERNAKULAM_Rose,184,6,Rose,KERALA
ERNAKULAM_Rubber,252,3,Rubber,KERALA
ERNAKULAM_Saffron,0,1,Saffron,KERALA
ERNAKULAM_Sandal Wood,179,3,Sandal Wood,KERALA
ERNAKULAM_Sapota,149,5,Sapota,KERALA
ERNAKULAM_Sesame (Gingelly/Til)/Sesamum,168,2,Sesame (Gingelly/Til)/Sesamum,KERALA
ERNAKULAM_Snake Gourd,249,2,Snake Gourd,KERALA
ERNAKULAM_Sponge Gourd,0,1,Sponge Gourd,KERALA
ERNAKULAM_Tapioca (Cassava),263,14,Tapioca (Cassava),KERALA
